tweet_id, created_at, retweet_count, favorite_count
835536468978302976,2017-02-25 17:06:32+00:00,1577,0
835309094223372289,2017-02-25 02:03:02+00:00,19580,0
835297930240217089,2017-02-25 01:18:40+00:00,2805,15751
835264098648616962,2017-02-24 23:04:14+00:00,1577,7374
835246439529840640,2017-02-24 21:54:03+00:00,64,2014
835172783151792128,2017-02-24 17:01:22+00:00,5393,25029
835152434251116546,2017-02-24 15:40:31+00:00,2820,21372
834931633769889797,2017-02-24 01:03:08+00:00,1518,10303
834786237630337024,2017-02-23 15:25:23+00:00,5192,20585
834574053763584002,2017-02-23 01:22:14+00:00,2355,13037
834477809192075265,2017-02-22 18:59:48+00:00,9977,0
834458053273591808,2017-02-22 17:41:18+00:00,1573,9191
834209720923721728,2017-02-22 01:14:30+00:00,4439,19619
834167344700198914,2017-02-21 22:26:07+00:00,3440,15124
834089966724603904,2017-02-21 17:18:39+00:00,2011,9610
834086379323871233,2017-02-21 17:04:24+00:00,2068,12483
833863086058651648,2017-02-21 02:17:06+00:00,2257,12860
833826103416520705,2017-02-20 23:50:09+00:00,3551,17383
833732339549220864,2017-02-20 17:37:34+00:00,208,0
833722901757046785,2017-02-20 17:00:04+00:00,3049,20036
833479644947025920,2017-02-20 00:53:27+00:00,1922,14261
833124694597443584,2017-02-19 01:23:00+00:00,4547,19363
832998151111966721,2017-02-18 17:00:10+00:00,2063,12657
832769181346996225,2017-02-18 01:50:19+00:00,38,0
832757312314028032,2017-02-18 01:03:09+00:00,3398,16148
832682457690300417,2017-02-17 20:05:43+00:00,2726,11356
832645525019123713,2017-02-17 17:38:57+00:00,500,2794
832636094638288896,2017-02-17 17:01:29+00:00,2612,15179
832397543355072512,2017-02-17 01:13:34+00:00,2078,11450
832369877331693569,2017-02-16 23:23:38+00:00,3003,16424
832273440279240704,2017-02-16 17:00:25+00:00,2198,10874
832215909146226688,2017-02-16 13:11:49+00:00,5853,0
832215726631055365,2017-02-16 13:11:05+00:00,8766,0
832088576586297345,2017-02-16 04:45:50+00:00,2,61
832040443403784192,2017-02-16 01:34:34+00:00,9008,0
832032802820481025,2017-02-16 01:04:13+00:00,4383,17084
831939777352105988,2017-02-15 18:54:34+00:00,5768,22925
831926988323639298,2017-02-15 18:03:45+00:00,34,324
831911600680497154,2017-02-15 17:02:36+00:00,6108,26343
831670449226514432,2017-02-15 01:04:21+00:00,1719,9982
831650051525054464,2017-02-14 23:43:18+00:00,1823,6824
831552930092285952,2017-02-14 17:17:22+00:00,2201,8606
831322785565769729,2017-02-14 02:02:51+00:00,1473,8916
831315979191906304,2017-02-14 01:35:49+00:00,1055,6272
831309418084069378,2017-02-14 01:09:44+00:00,2317,11308
831262627380748289,2017-02-13 22:03:49+00:00,1934,11392
830956169170665475,2017-02-13 01:46:03+00:00,1408,7660
830583320585068544,2017-02-12 01:04:29+00:00,15738,63718
830173239259324417,2017-02-10 21:54:58+00:00,5348,0
830097400375152640,2017-02-10 16:53:37+00:00,2760,9336
829878982036299777,2017-02-10 02:25:42+00:00,4703,0
829861396166877184,2017-02-10 01:15:49+00:00,1820,11744
829501995190984704,2017-02-09 01:27:41+00:00,9977,30444
829449946868879360,2017-02-08 22:00:52+00:00,1900,10055
829141528400556032,2017-02-08 01:35:19+00:00,6916,23327
829011960981237760,2017-02-07 17:00:28+00:00,15438,51178
828801551087042563,2017-02-07 03:04:22+00:00,3230,0
828770345708580865,2017-02-07 01:00:22+00:00,5519,24541
828708714936930305,2017-02-06 20:55:28+00:00,10564,34934
828650029636317184,2017-02-06 17:02:17+00:00,1265,9133
828409743546925057,2017-02-06 01:07:28+00:00,1098,6124
828408677031882754,2017-02-06 01:03:14+00:00,1213,7388
828381636999917570,2017-02-05 23:15:47+00:00,2104,12099
828376505180889089,2017-02-05 22:55:23+00:00,1007,7099
828372645993398273,2017-02-05 22:40:03+00:00,2773,12104
828361771580813312,2017-02-05 21:56:51+00:00,168,2100
828046555563323392,2017-02-05 01:04:17+00:00,2713,11267
828011680017821696,2017-02-04 22:45:42+00:00,2037,9952
827933404142436356,2017-02-04 17:34:40+00:00,4935,19222
827653905312006145,2017-02-03 23:04:02+00:00,2851,14876
827600520311402496,2017-02-03 19:31:54+00:00,879,7190
827324948884643840,2017-02-03 01:16:53+00:00,2858,15221
827199976799354881,2017-02-02 17:00:17+00:00,2105,10164
826958653328592898,2017-02-02 01:01:21+00:00,4703,20706
826848821049180160,2017-02-01 17:44:55+00:00,9546,34685
826615380357632002,2017-02-01 02:17:19+00:00,3767,0
826598799820865537,2017-02-01 01:11:25+00:00,233,4939
826598365270007810,2017-02-01 01:09:42+00:00,2219,9609
826476773533745153,2017-01-31 17:06:32+00:00,3983,17657
826240494070030336,2017-01-31 01:27:39+00:00,2462,12757
826204788643753985,2017-01-30 23:05:46+00:00,866,4686
826115272272650244,2017-01-30 17:10:04+00:00,2935,15011
825876512159186944,2017-01-30 01:21:19+00:00,1761,10079
825829644528148480,2017-01-29 22:15:05+00:00,2373,12262
825535076884762624,2017-01-29 02:44:34+00:00,16702,54934
825147591692263424,2017-01-28 01:04:51+00:00,4278,17583
825120256414846976,2017-01-27 23:16:13+00:00,1182,0
825026590719483904,2017-01-27 17:04:02+00:00,1182,6004
824796380199809024,2017-01-27 01:49:15+00:00,5203,0
824775126675836928,2017-01-27 00:24:48+00:00,3326,14339
824663926340194305,2017-01-26 17:02:56+00:00,1675,10110
824325613288833024,2017-01-25 18:38:36+00:00,10096,11365
824297048279236611,2017-01-25 16:45:05+00:00,3644,14476
824025158776213504,2017-01-24 22:44:42+00:00,573,4659
823939628516474880,2017-01-24 17:04:50+00:00,2583,10247
823719002937630720,2017-01-24 02:28:08+00:00,10568,0
823699002998870016,2017-01-24 01:08:40+00:00,2380,13451
823581115634085888,2017-01-23 17:20:14+00:00,2484,12487
823333489516937216,2017-01-23 00:56:15+00:00,21,673
823322678127919110,2017-01-23 00:13:17+00:00,3794,15098
823269594223824897,2017-01-22 20:42:21+00:00,9383,0
822975315408461824,2017-01-22 01:12:59+00:00,3262,16681
822872901745569793,2017-01-21 18:26:02+00:00,40807,126337
822859134160621569,2017-01-21 17:31:20+00:00,2152,12704
822647212903690241,2017-01-21 03:29:14+00:00,6055,0
822610361945911296,2017-01-21 01:02:48+00:00,2785,14238
822489057087389700,2017-01-20 17:00:46+00:00,6055,17438
822462944365645825,2017-01-20 15:17:01+00:00,13464,26784
822244816520155136,2017-01-20 00:50:15+00:00,9383,33681
822163064745328640,2017-01-19 19:25:24+00:00,4488,0
821886076407029760,2017-01-19 01:04:45+00:00,2182,10864
821813639212650496,2017-01-18 20:16:54+00:00,3182,0
821765923262631936,2017-01-18 17:07:18+00:00,1587,8060
821522889702862852,2017-01-18 01:01:34+00:00,1656,7712
821421320206483457,2017-01-17 18:17:58+00:00,5253,0
821407182352777218,2017-01-17 17:21:47+00:00,4081,11283
821153421864615936,2017-01-17 00:33:26+00:00,9,239
821149554670182400,2017-01-17 00:18:04+00:00,1854,8270
821107785811234820,2017-01-16 21:32:06+00:00,2014,9234
821044531881721856,2017-01-16 17:20:45+00:00,2164,12186
820837357901512704,2017-01-16 03:37:31+00:00,6366,0
820749716845686786,2017-01-15 21:49:15+00:00,9394,30386
820690176645140481,2017-01-15 17:52:40+00:00,3058,11778
820494788566847489,2017-01-15 04:56:16+00:00,535,0
820446719150292993,2017-01-15 01:45:15+00:00,2440,0
820314633777061888,2017-01-14 17:00:24+00:00,535,3226
820078625395449857,2017-01-14 01:22:35+00:00,5923,19018
820013781606658049,2017-01-13 21:04:55+00:00,1106,0
819952236453363712,2017-01-13 17:00:21+00:00,1106,5115
819924195358416896,2017-01-13 15:08:56+00:00,4631,12464
819711362133872643,2017-01-13 01:03:12+00:00,2942,12859
819588359383371776,2017-01-12 16:54:26+00:00,1903,9320
819347104292290561,2017-01-12 00:55:47+00:00,1135,6971
819238181065359361,2017-01-11 17:42:57+00:00,389,2173
819227688460238848,2017-01-11 17:01:16+00:00,6366,22173
819015337530290176,2017-01-11 02:57:27+00:00,35218,0
819015331746349057,2017-01-11 02:57:26+00:00,18120,0
819006400881917954,2017-01-11 02:21:57+00:00,18120,43759
819004803107983360,2017-01-11 02:15:36+00:00,35220,84117
818646164899774465,2017-01-10 02:30:30+00:00,19860,0
818627210458333184,2017-01-10 01:15:10+00:00,7196,21596
818614493328580609,2017-01-10 00:24:38+00:00,2401,9475
818588835076603904,2017-01-09 22:42:41+00:00,5798,0
818536468981415936,2017-01-09 19:14:36+00:00,2323,10459
818307523543449600,2017-01-09 04:04:51+00:00,7627,0
818259473185828864,2017-01-09 00:53:55+00:00,2132,10601
818145370475810820,2017-01-08 17:20:31+00:00,2423,11810
817908911860748288,2017-01-08 01:40:55+00:00,757,4679
817827839487737858,2017-01-07 20:18:46+00:00,25659,49517
817777686764523521,2017-01-07 16:59:28+00:00,2559,10398
817536400337801217,2017-01-07 01:00:41+00:00,2780,11327
817502432452313088,2017-01-06 22:45:43+00:00,3215,0
817423860136083457,2017-01-06 17:33:29+00:00,13877,32457
817415592588222464,2017-01-06 17:00:38+00:00,905,5392
817181837579653120,2017-01-06 01:31:47+00:00,8034,0
817171292965273600,2017-01-06 00:49:53+00:00,1920,8449
817120970343411712,2017-01-05 21:29:55+00:00,2467,11751
817056546584727552,2017-01-05 17:13:55+00:00,1556,8281
816829038950027264,2017-01-05 02:09:53+00:00,4476,0
